Layer Title, Color, Specimen ID,
Layer 1, Blue,671055_F.4.refl,
Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,350 ms,10,3
Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data,
345.62115,1353.024688,40%,
345.8419691,1370.77375,100%,
346.0627729,1322.305156,100%,
346.2835616,2604.333594,0%,
346.5043351,2351.068125,100%,
346.7250934,2138.079375,2.38%,
346.9458365,2471.898281,21.62%,
347.1665644,2615.93875,38.95%,
347.3872771,2629.591875,100%,
347.6079746,2361.307969,100%,
347.8286569,2298.731146,29.56%,
348.0493241,2350.678036,27.99%,
348.269976,2420.60154,24.62%,
348.4906127,2466.014435,38.92%,
348.7112342,2459.317902,33.96%,
348.9318406,2458.862798,39.97%,
349.1524317,2470.175387,30.35%,
349.3730076,2463.608884,36.08%,
349.5935683,2458.147634,33.55%,
349.8141139,2455.124442,30.97%,
350.0346442,2471.02058,27.68%,
350.2551593,2455.709576,27.10%,
350.4756592,2450.508385,25.43%,
350.6961439,2452.653876,28.63%,
350.9166134,2473.913743,33.47%,
351.1370677,2468.517507,33.60%,
351.3575068,2489.647344,35.37%,
351.5779307,2482.07311,36.57%,
351.7983394,2495.92128,42.09%,
352.0187329,2503.105424,38.91%,
352.2391111,2498.066771,35.79%,
352.4594742,2484.348631,28.89%,
352.679822,2489.354777,31.67%,
352.9001547,2467.509777,30.95%,
353.1204721,2476.904427,32.03%,
353.3407743,2488.444568,34.21%,
353.5610613,2487.66439,32.66%,
353.7813331,2488.152001,36.88%,
354.0015897,2492.963103,34.90%,
354.2218311,2510.029509,35.37%,
354.4420572,2517.961324,38.89%,
354.6622681,2519.131592,40.32%,
354.8824639,2529.273914,42.19%,
355.1026444,2514.743088,41.45%,
355.3228097,2518.156369,37.35%,
355.5429597,2501.187485,36.03%,
355.7630946,2501.12247,34.29%,
355.9832142,2483.698482,29.84%,
356.2033186,2502.617813,25.24%,
356.4234078,2486.104033,24.79%,
356.6434818,2485.486391,24.79%,
356.8635406,2476.449323,20.71%,
357.0835841,2487.339315,19.45%,
357.3036124,2484.283616,15.51%,
357.5236255,2491.337731,13.54%,
357.7436234,2507.461421,15.54%,
357.963606,2519.976786,13.65%,
358.1835734,2531.419405,16.20%,
358.4035256,2544.064799,16.77%,
358.6234626,2544.064799,18.18%,
358.8433843,2538.148445,21.09%,
359.0632909,2523.390067,18.30%,
359.2831821,2521.69968,20.45%,
359.5030582,2537.790863,19.79%,
359.722919,2555.442403,22.18%,
359.9427646,2568.022783,24.99%,
360.162595,2564.381949,24.62%,
360.3824102,2575.17442,26.77%,
360.6022101,2592.078289,25.41%,
360.8219948,2581.838445,24.65%,
361.0417642,2601.798013,25.83%,
361.2615184,2618.051734,25.01%,
361.4812574,2637.133601,29.18%,
361.7009812,2629.624382,29.96%,
361.9206897,2631.282262,30.50%,
362.140383,2624.845789,31.38%,
362.360061,2619.287016,31.05%,
362.5797238,2592.890975,29.06%,
362.7993714,2588.89256,24.35%,
363.0190038,2599.977597,22.69%,
363.2386209,2603.390878,22.54%,
363.4582227,2595.556585,19.99%,
363.6778093,2598.514762,21.96%,
363.8973807,2596.694345,20.50%,
364.1169369,2591.16808,19.04%,
364.3364778,2579.335372,16.90%,
364.5560034,2576.019613,15.33%,
364.7755139,2597.962135,15.75%,
364.995009,2587.007128,13.24%,
365.214489,2580.700685,14.89%,
365.4339537,2584.243996,16.86%,
365.6534031,2559.278281,11.32%,
365.8728373,2533.499881,10.75%,
366.0922563,2520.074308,9.97%,
366.31166,2532.849732,11.04%,
366.5310484,2525.730603,11.89%,
366.7504217,2530.541704,11.25%,
366.9697796,2525.828125,9.85%,
367.1891223,2537.628326,9.92%,
367.4084498,2536.588088,14.37%,
367.627762,2521.95974,13.13%,
367.847059,2512.175,10.95%,
368.0663407,2511.784911,11.09%,
368.2856072,2511.134762,11.15%,
368.5048584,2511.784911,13.77%,
368.7240944,2501.057455,14.08%,
368.9433151,2500.894918,14.93%,
369.1625206,2480.642783,14.53%,
369.3817108,2485.096302,14.10%,
369.6008857,2476.026726,15.09%,
369.8200454,2486.754182,17.79%,
370.0391899,2481.683021,19.43%,
370.258319,2494.751012,24.02%,
370.477433,2505.868557,26.12%,
370.6965316,2502.585305,27.87%,
370.915615,2492.312954,28.19%,
371.1346832,2512.30503,27.06%,
371.3537361,2525.665588,27.74%,
371.5727737,2520.659442,29.01%,
371.7917961,2519.261622,29.84%,
372.0108032,2523.162515,27.45%,
372.229795,2523.682634,29.58%,
372.4487716,2536.718118,29.10%,
372.6677329,2537.498296,28.89%,
372.886679,2531.516927,26.17%,
373.1056098,2517.603743,22.80%,
373.3245253,2531.516927,22.47%,
373.5434256,2523.617619,21.69%,
373.7623106,2542.40692,19.78%,
373.9811803,2532.49215,19.92%,
374.2000348,2552.679271,18.06%,
374.418874,2541.919308,16.37%,
374.6376979,2550.111183,14.68%,
374.8565065,2550.306228,11.76%,
375.0752999,2565.487202,11.63%,
375.2940781,2578.912775,8.28%,
375.5128409,2589.542708,8.04%,
375.7315885,2567.437649,7.04%,
375.9503208,2559.863415,6.30%,
376.1690378,2564.967083,6.50%,
376.3877396,2566.169859,5.97%,
376.606426,2556.027537,6.83%,
376.8250973,2543.122083,3.84%,
377.0437532,2551.769063,5.30%,
377.2623939,2527.551019,4.49%,
377.4810192,2543.934769,4.66%,
377.6996293,2552.061629,8.65%,
377.9182242,2535.352805,11.06%,
378.1368037,2540.358951,12.26%,
378.355368,2535.060238,13.57%,
378.573917,2533.304836,13.32%,
378.7924507,2536.718118,14.75%,
379.0109691,2542.341905,14.45%,
379.2294723,2525.535558,14.27%,
379.4479602,2527.713557,15.31%,
379.6664328,2527.388482,14.81%,
379.8848901,2548.843393,14.73%,
380.1033321,2549.396019,14.32%,
380.3217588,2554.824762,15.08%,
380.5401703,2554.662225,15.25%,
380.7585665,2555.539926,13.37%,
380.9769473,2552.93933,12.53%,
381.1953129,2554.564702,13.81%,
381.4136633,2578.425164,14.71%,
381.6319983,2572.053705,14.27%,
381.850318,2582.846176,14.63%,
382.0686225,2569.940722,14.51%,
382.2869116,2567.080067,11.45%,
382.5051855,2561.488787,11.37%,
382.7234441,2576.962329,11.26%,
382.9416874,2575.336957,9.68%,
383.1599154,2575.336957,9.93%,
383.3781281,2569.778185,9.77%,
383.5963255,2565.422188,9.56%,
383.8145076,2571.338542,9.84%,
384.0326744,2570.135766,9.85%,
384.250826,2540.684025,9.10%,
384.4689622,2516.563504,8.37%,
384.6870832,2516.49849,8.82%,
384.9051888,2515.003147,8.83%,
385.1232791,2509.704435,8.72%,
