Layer Title, Color, Specimen ID,
Layer 1, Blue,951002_A.1.refl,
Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,350 ms,10,3
Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data,
345.43265,1230.146563,100%,
345.6488616,1196.696406,72.31%,
345.8650625,1211.032188,97.06%,
346.0812525,2219.998125,80%,
346.2974318,2290.994375,0%,
346.5136003,2587.949844,0%,
346.7297579,2216.584844,0%,
346.9459048,2122.378281,100%,
347.1620409,2062.987188,100%,
347.3781662,2183.134688,100%,
347.5942807,2095.85221,100%,
347.8103844,2149.391964,100%,
348.0264773,2190.871458,100%,
348.2425594,2232.1234,100%,
348.4586306,2232.025878,100%,
348.6746911,2234.528951,100%,
348.8907407,2218.470275,91.78%,
349.1067796,2226.012001,85.58%,
349.3228076,2248.929747,77.23%,
349.5388247,2261.542634,72.10%,
349.7548311,2258.844516,58.56%,
349.9708266,2265.346004,48.46%,
350.1868113,2279.161667,42.58%,
350.4027852,2297.885952,43.13%,
350.6187482,2292.262165,42.37%,
350.8347004,2281.144621,39.65%,
351.0506418,2287.678616,36.62%,
351.2665723,2287.743631,37.80%,
351.482492,2292.229658,37.56%,
351.6984008,2294.505179,43.82%,
351.9142988,2295.057805,41.35%,
352.130186,2302.567024,40.94%,
352.3460623,2308.288333,40.86%,
352.5619277,2331.303601,40.67%,
352.7777823,2338.975357,43.60%,
352.993626,2341.575952,43.32%,
353.2094589,2360.852865,43.66%,
353.4252808,2373.920856,45.97%,
353.641092,2373.855841,46.15%,
353.8568922,2348.109948,47.20%,
354.0726816,2364.72125,47.10%,
354.2884601,2366.899249,47.91%,
354.5042278,2368.459606,49.42%,
354.7199845,2360.430268,48.48%,
354.9357304,2339.625506,44.66%,
355.1514654,2345.866935,43.84%,
355.3671895,2357.894688,42.92%,
355.5829028,2354.904003,40.50%,
355.7986051,2357.407076,38.89%,
356.0142966,2359.292507,38.88%,
356.2299771,2364.948802,33.18%,
356.4456468,2356.821942,29.89%,
356.6613056,2366.509159,30.74%,
356.8769534,2362.770804,30.10%,
357.0925904,2353.863765,30.82%,
357.3082164,2357.569613,29.36%,
357.5238316,2354.416391,29.04%,
357.7394358,2327.987842,27.28%,
357.9550291,2314.952359,25.56%,
358.1706116,2308.483378,22.48%,
358.386183,2332.538884,20.81%,
358.6017436,2313.392001,18.42%,
358.8172933,2311.799137,15.95%,
359.032832,2317.682984,15.92%,
359.2483598,2304.452455,14.63%,
359.4638767,2314.139673,13.23%,
359.6793826,2320.251071,12.43%,
359.8948776,2317.227879,10.20%,
360.1103617,2320.348594,11.71%,
360.3258349,2324.932143,12.82%,
360.5412971,2312.871882,11.47%,
360.7567483,2310.953943,12.79%,
360.9721886,2307.670692,13.40%,
361.187618,2299.868906,12.36%,
361.4030364,2284.33035,11.42%,
361.6184439,2295.057805,9.48%,
361.8338404,2300.779115,9.80%,
362.0492259,2306.077827,8.25%,
362.2646005,2309.458601,8.25%,
362.4799642,2309.296064,7.69%,
362.6953168,2322.949189,8.14%,
362.9106585,2320.998743,8.31%,
363.1259893,2323.209249,8.43%,
363.3413091,2335.367031,8.04%,
363.5566179,2344.4041,7.96%,
363.7719157,2359.064955,7.80%,
363.9872025,2342.74622,7.53%,
