Layer Title, Color, Specimen ID,
Layer 1, Blue,951002_A.5.refl,
Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,350 ms,10,3
Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data,
345.43265,1206.93625,100%,
345.6488616,1201.475,61.54%,
345.8650625,1221.272031,100%,
346.0812525,2275.293281,0%,
346.2974318,2293.042344,0%,
346.5136003,2578.392656,0%,
346.7297579,2213.854219,10.34%,
346.9459048,2106.677188,100%,
347.1620409,2034.315625,100%,
347.3781662,2130.570156,100%,
347.5942807,2085.092247,100%,
347.8103844,2140.484926,100%,
348.0264773,2180.729137,100%,
348.2425594,2224.874241,100%,
348.4586306,2221.2009,96.43%,
348.6746911,2223.021317,79.75%,
348.8907407,2209.01061,74.20%,
349.1067796,2219.250454,73.64%,
349.3228076,2243.923601,69.16%,
349.5388247,2258.194368,66.98%,
349.7548311,2259.007054,58.79%,
349.9708266,2268.856808,52.84%,
350.1868113,2285.143036,49.41%,
350.4027852,2298.731146,44.04%,
350.6187482,2291.709539,41.81%,
350.8347004,2278.056414,36.75%,
351.0506418,2289.043929,37.84%,
351.2665723,2285.078021,35.46%,
351.482492,2292.392195,37.69%,
351.6984008,2293.497448,42.98%,
351.9142988,2293.887537,40.38%,
352.130186,2301.98189,40.46%,
352.3460623,2307.248095,40.01%,
352.5619277,2331.011034,40.44%,
352.7777823,2335.009449,40.45%,
352.993626,2338.68279,41.03%,
353.2094589,2357.504598,40.97%,
353.4252808,2367.581905,41.11%,
353.641092,2364.233638,39.22%,
353.8568922,2334.781897,37.42%,
354.0726816,2350.222932,36.52%,
354.2884601,2352.2709,37.37%,
354.5042278,2351.393199,37.00%,
354.7199845,2343.298847,35.94%,
354.9357304,2326.36247,35.08%,
355.1514654,2329.580707,32.23%,
355.3671895,2345.606875,34.31%,
355.5829028,2343.753951,32.78%,
355.7986051,2352.303408,35.31%,
356.0142966,2353.473676,34.75%,
356.2299771,2358.479821,28.60%,
356.4456468,2354.708958,28.43%,
356.6613056,2365.338891,29.95%,
356.8769534,2358.382299,27.18%,
357.0925904,2349.670305,28.09%,
357.3082164,2354.93651,27.62%,
357.5238316,2350.482991,26.44%,
357.7394358,2323.371786,24.26%,
357.9550291,2311.929167,23.60%,
358.1706116,2308.71093,22.63%,
358.386183,2333.22154,21.23%,
358.6017436,2317.000327,20.62%,
358.8172933,2313.717076,17.12%,
359.032832,2321.258802,17.99%,
359.2483598,2312.189226,18.91%,
359.4638767,2322.42907,17.63%,
359.6793826,2329.125603,16.95%,
359.8948776,2326.069903,14.55%,
360.1103617,2326.915097,14.77%,
360.3258349,2325.452262,13.05%,
360.5412971,2314.334717,12.07%,
360.7567483,2313.489524,13.76%,
360.9721886,2310.661376,14.49%,
361.187618,2302.989621,13.42%,
361.4030364,2290.92936,13.55%,
361.6184439,2303.932336,12.18%,
361.8338404,2306.890513,11.49%,
362.0492259,2316.642746,10.95%,
362.2646005,2321.193787,11.01%,
362.4799642,2319.958504,10.02%,
362.6953168,2332.831451,10.13%,
362.9106585,2332.603899,10.46%,
363.1259893,2330.913512,9.73%,
363.3413091,2344.924219,9.53%,
363.5566179,2348.370007,8.54%,
363.7719157,2360.39776,7.98%,
363.9872025,2344.859204,7.79%,
364.2024784,2352.043348,7.93%,
364.4177433,2366.11907,7.69%,
364.6329972,2384.745833,7.14%,
364.8482401,2393.230275,6.92%,
365.063472,2402.234836,6.82%,
365.2786929,2406.168237,6.27%,
365.4939029,2417.740885,5.80%,
365.7091018,2406.493311,5.39%,
365.9242898,2417.155751,5.31%,
366.1394667,2396.285975,5.00%,
366.3546327,2388.614219,4.80%,
366.5697876,2408.41125,4.56%,
366.7849315,2412.73474,4.56%,
367.0000645,2418.000945,4.44%,
367.2151864,2398.496481,4.07%,
367.4302973,2382.762879,3.80%,
367.6453972,2381.267537,3.89%,
367.860486,2367.971994,3.89%,
368.0755639,2372.685573,3.93%,
368.2906307,2376.749003,3.88%,
368.5056865,2385.656042,3.93%,
368.7207312,2396.285975,3.81%,
368.935765,2382.307775,3.69%,
369.1507877,2352.335915,3.58%,
369.3657993,2342.486161,3.59%,
369.5808,2348.662574,3.46%,
369.7957896,2331.758705,3.51%,
370.0107681,2329.515692,3.53%,
370.2257356,2341.998549,3.51%,
370.4406921,2348.142455,3.44%,
370.6556375,2361.047909,3.45%,
370.8705718,2379.772195,3.35%,
371.0854951,2358.447314,3.37%,
371.3004074,2381.852671,3.39%,
371.5153086,2388.386667,3.35%,
371.7301987,2400.186868,3.42%,
371.9450778,2408.118683,3.42%,
372.1599458,2399.569226,3.25%,
372.3748027,2416.928199,3.19%,
372.5896486,2399.309167,3.15%,
372.8044834,2388.386667,3.18%,
373.0193071,2399.569226,3.10%,
373.2341197,2374.050885,3.04%,
373.4489213,2377.951778,3.06%,
373.6637118,2390.954754,3.05%,
373.8784912,2377.626704,3.02%,
374.0932595,2372.458021,2.97%,
374.3080167,2383.965655,2.84%,
374.5227628,2377.106585,2.70%,
374.7374979,2386.598757,2.89%,
374.9522218,2384.908371,2.89%,
375.1669347,2379.772195,2.96%,
375.3816364,2358.382299,3.00%,
375.5963271,2368.622143,3.09%,
375.8110066,2338.715298,3.04%,
376.025675,2335.009449,3.00%,
376.2403324,2333.904196,3.12%,
376.4549786,2347.394784,3.21%,
376.6696137,2380.194792,3.33%,
376.8842377,2368.78468,3.34%,
377.0988505,2376.196376,3.23%,
377.3134523,2364.396176,3.11%,
377.5280429,2361.665551,3.15%,
377.7426224,2366.866741,3.10%,
377.9571908,2361.015402,3.20%,
378.171748,2363.615997,3.23%,
378.3862941,2384.388251,3.11%,
378.6008291,2382.567835,3.19%,
378.8153529,2381.495089,3.29%,
379.0298656,2391.702426,3.46%,
379.2443672,2359.52006,3.26%,
379.4588576,2366.216592,3.38%,
379.6733368,2369.04474,3.31%,
379.887805,2390.077054,3.37%,
380.1022619,2385.330967,3.42%,
380.3167077,2398.268929,3.33%,
380.5311424,2392.515112,3.44%,
380.7455659,2394.400543,3.33%,
380.9599782,2382.080223,3.19%,
381.1743794,2353.701228,3.16%,
381.3887694,2353.343646,3.22%,
381.6031483,2357.212031,3.29%,
381.8175159,2372.230469,3.31%,
382.0318725,2365.176354,3.24%,
382.2462178,2377.366644,3.22%,
382.4605519,2387.736518,3.18%,
382.6748749,2390.109561,3.13%,
382.8891867,2383.445536,3.17%,
383.1034873,2382.307775,3.07%,
383.3177767,2370.962679,3.02%,
383.532055,2364.136116,3.00%,
383.746322,2379.869717,3.00%,
383.9605779,2372.393006,2.91%,
384.1748226,2374.961094,2.90%,
384.389056,2356.659405,2.80%,
384.6032783,2354.741466,2.67%,
384.8174893,2349.377738,2.67%,
385.0316892,2358.219762,2.60%,
385.2458779,2356.854449,2.61%,
385.4600553,2352.856034,2.58%,
385.6742215,2375.156138,2.59%,
385.8883765,2390.49965,2.54%,
386.1025204,2394.530573,2.63%,
386.3166529,2392.742664,2.67%,
386.5307743,2394.790632,2.69%,
386.7448844,2387.346429,2.73%,
386.9589834,2400.999554,2.74%,
387.1730711,2404.185283,2.77%,
387.3871475,2420.634048,2.76%,
387.6012127,2438.740692,2.80%,
387.8152667,2452.913936,2.78%,
388.0293095,2465.916912,2.74%,
388.243341,2476.61186,2.71%,
388.4573613,2485.096302,2.76%,
388.6713703,2485.616421,2.69%,
388.8853681,2516.36846,2.70%,
389.0993547,2522.317321,2.72%,
389.31333,2522.154784,2.72%,
389.527294,2524.982932,2.71%,
389.7412468,2544.81247,2.69%,
389.9551883,2551.964107,2.68%,
390.1691186,2631.282262,2.62%,
390.3830376,2627.348862,2.63%,
390.5969453,2612.557976,2.55%,
390.8108418,2635.508229,2.52%,
391.024727,2646.625774,2.51%,
391.2386009,2662.16433,2.48%,
391.4524636,2650.656696,2.47%,
391.666315,2670.063638,2.45%,
391.8801551,2650.331622,2.44%,
392.0939839,2651.956994,2.41%,
392.3078014,2664.95997,2.43%,
392.5216077,2673.08683,2.41%,
392.7354027,2676.922708,2.43%,
392.9491864,2674.257098,2.39%,
393.1629587,2678.613095,2.43%,
393.3767198,2669.348475,2.42%,
393.5904696,2672.176622,2.43%,
393.8042081,2689.958192,2.43%,
394.0179353,2683.391689,2.43%,
394.2316512,2684.919539,2.45%,
394.4453558,2707.219643,2.47%,
394.6590491,2626.926265,2.47%,
394.8727311,2642.919926,2.46%,
395.0864017,2671.038862,2.47%,
395.300061,2670.778802,2.45%,
395.5137091,2698.11756,2.47%,
395.7273458,2693.891592,2.48%,
395.9409712,2705.106659,2.47%,
396.1545852,2724.448586,2.49%,
396.3681879,2745.155826,2.47%,
396.5817793,2757.346116,2.47%,
396.7953594,2769.698943,2.49%,
397.0089281,2771.974464,2.51%,
397.2224855,2793.721942,2.51%,
397.4360316,2804.709457,2.51%,
397.6495663,2810.755841,2.50%,
397.8630897,2824.311443,2.51%,
398.0766017,2836.144152,2.50%,
398.2901024,2836.859315,2.49%,
398.5035917,2862.150104,2.49%,
398.7170697,2870.537024,2.47%,
398.9305363,2872.519978,2.45%,
399.1439916,2892.154472,2.47%,
399.3574355,2883.80006,2.46%,
399.5708681,2904.377269,2.46%,
399.7842893,2907.107894,2.47%,
399.9976991,2883.865074,2.46%,
400.2110975,2880.061704,2.45%,
400.4244846,2887.86349,2.43%,
400.6378603,2878.468839,2.42%,
400.8512246,2886.140595,2.43%,
401.0645776,2886.855759,2.44%,
401.2779192,2899.273601,2.42%,
401.4912493,2900.313839,2.41%,
401.7045681,2898.65596,2.40%,
401.9178756,2922.093824,2.40%,
402.1311716,2920.63099,2.39%,
402.3444562,2921.021079,2.38%,
402.5577295,2927.197493,2.37%,
402.7709913,2936.722173,2.37%,
402.9842418,2951.968162,2.37%,
403.1974808,2957.559442,2.37%,
403.4107085,2956.129115,2.36%,
403.6239247,2955.121384,2.35%,
403.8371295,2991.789777,2.36%,
404.0503229,2986.16599,2.36%,
404.2635049,3011.034182,2.36%,
404.4766755,3032.39157,2.38%,
404.6898347,3065.906741,2.38%,
404.9029825,3082.420521,2.38%,
405.1161188,3092.757887,2.39%,
405.3292437,3101.242329,2.40%,
405.5423572,3123.314881,2.38%,
405.7554592,3131.084159,2.39%,
405.9685499,3143.046897,2.40%,
406.1816291,3140.08872,2.40%,
406.3946968,3135.180097,2.41%,
406.6077531,3166.907359,2.43%,
406.820798,3182.901019,2.43%,
407.0338314,3196.391607,2.44%,
407.2468534,3212.905387,2.44%,
407.459864,3199.447307,2.44%,
407.672863,3211.34503,2.44%,
407.8858507,3237.968624,2.45%,
408.0988269,3253.409658,2.46%,
408.3117916,3239.528981,2.45%,
408.5247449,3237.903609,2.45%,
408.7376867,3230.52442,2.45%,
408.950617,3244.632649,2.43%,
409.1635359,3234.295283,2.43%,
409.3764433,3249.996376,2.44%,
409.5893392,3252.531957,2.44%,
409.8022237,3265.144844,2.44%,
410.0150967,3260.983891,2.45%,
410.2279582,3244.405097,2.44%,
410.4408082,3247.9159,2.44%,
410.6536468,3277.107582,2.45%,
410.8664739,3287.054859,2.45%,
411.0792894,3287.54247,2.44%,
411.2920935,3305.746637,2.45%,
411.5048861,3309.615022,2.44%,
411.7176672,3317.579345,2.44%,
411.9304369,3332.89035,2.45%,
412.143195,3340.724643,2.44%,
