Layer Title, Color, Specimen ID,
Layer 1, Blue, 2011-0034_A.4.refl,
Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,350 ms,10,3
Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data,
345.43265,1250.62625,100%,
345.6488616,1237.655781,0%,
345.8650625,1224.002656,100%,
346.0812525,2225.459375,65.45%,
346.2974318,2278.023906,0%,
346.5136003,2606.381563,0%,
346.7297579,2239.1125,0%,
346.9459048,2088.928125,100%,
347.1620409,2021.345156,100%,
347.3781662,2129.204844,100%,
347.5942807,2088.408006,100%,
347.8103844,2143.47561,100%,
348.0264773,2183.914866,100%,
348.2425594,2226.239554,100%,
348.4586306,2224.516659,100%,
348.6746911,2226.207046,86.19%,
348.8907407,2211.318638,78.49%,
349.1067796,2215.73965,67.43%,
349.3228076,2241.518051,65.29%,
349.5388247,2256.113891,63.80%,
349.7548311,2258.616964,58.25%,
349.9708266,2263.037976,45.58%,
350.1868113,2274.708147,37.50%,
350.4027852,2289.986644,34.62%,
350.6187482,2280.526979,30.46%,
350.8347004,2272.270089,31.31%,
351.0506418,2279.096652,28.98%,
351.2665723,2278.836592,29.97%,
351.482492,2285.46811,31.79%,
351.6984008,2290.084167,40.15%,
351.9142988,2295.025298,41.33%,
352.130186,2305.297649,43.18%,
352.3460623,2309.97872,42.24%,
352.5619277,2330.783482,40.26%,
352.7777823,2334.976942,40.43%,
352.993626,2337.837597,40.36%,
353.2094589,2359.747612,42.77%,
353.4252808,2369.92244,42.91%,
353.641092,2372.197961,44.95%,
353.8568922,2340.665744,41.74%,
354.0726816,2359.422537,43.24%,
354.2884601,2356.269315,40.25%,
354.5042278,2358.902418,42.47%,
354.7199845,2354.156332,43.88%,
354.9357304,2336.049688,42.08%,
355.1514654,2343.233832,41.96%,
355.3671895,2355.424122,41.18%,
355.5829028,2352.2709,38.68%,
355.7986051,2359.325015,40.23%,
356.0142966,2361.242954,40.26%,
356.2299771,2367.354353,34.88%,
356.4456468,2361.242954,32.93%,
356.6613056,2370.31253,33.30%,
356.8769534,2364.428683,31.21%,
357.0925904,2356.106778,32.29%,
357.3082164,2363.095878,33.03%,
357.5238316,2360.300238,32.94%,
357.7394358,2330.81599,29.13%,
357.9550291,2316.187641,26.37%,
358.1706116,2313.457016,25.71%,
358.386183,2340.665744,25.83%,
358.6017436,2321.096265,23.12%,
358.8172933,2320.803698,21.45%,
359.032832,2326.817574,21.20%,
359.2483598,2312.156719,18.89%,
359.4638767,2321.713906,17.25%,
359.6793826,2328.410439,16.59%,
359.8948776,2329.938289,16.45%,
360.1103617,2332.993988,17.60%,
360.3258349,2333.35157,16.50%,
360.5412971,2321.778921,15.14%,
360.7567483,2316.155134,14.78%,
360.9721886,2309.621138,14.11%,
361.187618,2303.444725,13.57%,
361.4030364,2291.319449,13.67%,
361.6184439,2306.402902,12.93%,
361.8338404,2308.418363,11.92%,
362.0492259,2318.23561,11.35%,
362.2646005,2325.322232,11.98%,
362.4799642,2329.02808,12.00%,
362.6953168,2342.193594,12.01%,
362.9106585,2338.877835,11.62%,
363.1259893,2339.755536,11.22%,
363.3413091,2357.764658,11.54%,
363.5566179,2363.45346,10.73%,
363.7719157,2379.479628,10.55%,
363.9872025,2361.92561,9.93%,
364.2024784,2366.151577,9.56%,
364.4177433,2377.074077,8.86%,
364.6329972,2395.928393,8.25%,
364.8482401,2402.754955,7.80%,
365.063472,2410.751786,7.56%,
365.2786929,2421.511749,7.52%,
365.4939029,2435.7175,7.18%,
365.7091018,2425.250104,6.74%,
365.9242898,2437.993021,6.73%,
366.1394667,2416.148021,6.28%,
366.3546327,2411.661994,6.22%,
366.5697876,2433.246935,6.01%,
366.7849315,2434.124635,5.76%,
367.0000645,2437.472902,5.49%,
367.2151864,2418.553571,5.11%,
367.4302973,2406.233251,4.97%,
367.6453972,2400.15436,4.80%,
367.860486,2385.395982,4.70%,
368.0755639,2389.49192,4.69%,
368.2906307,2395.440781,4.70%,
368.5056865,2408.768832,4.91%,
368.7207312,2417.155751,4.68%,
368.935765,2407.631071,4.72%,
369.1507877,2378.56942,4.63%,
369.3657993,2368.91471,4.62%,
369.5808,2377.204107,4.55%,
369.7957896,2354.708958,4.37%,
370.0107681,2350.743051,4.31%,
370.2257356,2359.455045,4.14%,
370.4406921,2361.600536,3.92%,
370.6556375,2379.317091,4.08%,
370.8705718,2394.595588,3.86%,
371.0854951,2372.067932,3.84%,
371.3004074,2399.049107,3.97%,
371.5153086,2407.728594,4.00%,
371.7301987,2420.308973,4.09%,
371.9450778,2429.346042,4.12%,
372.1599458,2425.93276,4.12%,
372.3748027,2444.039405,4.08%,
372.5896486,2428.110759,4.10%,
372.8044834,2414.392619,4.03%,
373.0193071,2425.867746,3.96%,
373.2341197,2403.340089,4.00%,
373.4489213,2404.965461,3.94%,
373.6637118,2419.626317,3.98%,
373.8784912,2405.550595,3.94%,
374.0932595,2397.098661,3.78%,
374.3080167,2411.33692,3.75%,
374.5227628,2407.631071,3.72%,
374.7374979,2416.765662,3.90%,
374.9522218,2415.790439,3.94%,
375.1669347,2405.810655,3.84%,
375.3816364,2384.355744,3.89%,
375.5963271,2393.977946,3.96%,
375.8110066,2359.325015,3.75%,
376.025675,2357.959702,3.80%,
376.2403324,2354.05881,3.81%,
376.4549786,2364.038594,3.79%,
376.6696137,2395.343259,3.86%,
376.8842377,2383.185476,3.83%,
377.0988505,2392.417589,3.79%,
377.3134523,2382.730372,3.74%,
377.5280429,2380.714911,3.80%,
377.7426224,2385.818579,3.75%,
377.9571908,2380.519866,3.87%,
378.171748,2385.851086,3.98%,
378.3862941,2411.661994,4.02%,
378.6008291,2411.661994,4.16%,
378.8153529,2411.174382,4.26%,
379.0298656,2421.641778,4.44%,
379.2443672,2391.182307,4.28%,
379.4588576,2398.138899,4.39%,
379.6733368,2400.804509,4.30%,
379.887805,2423.559717,4.41%,
380.1022619,2417.448318,4.39%,
380.3167077,2435.522455,4.44%,
380.5311424,2423.462195,4.35%,
380.7455659,2426.810461,4.27%,
380.9599782,2415.530379,4.15%,
381.1743794,2386.663772,4.08%,
381.3887694,2386.956339,4.14%,
381.6031483,2384.843356,4.03%,
381.8175159,2401.324628,4.07%,
382.0318725,2396.285975,4.04%,
382.2462178,2409.256443,4.02%,
382.4605519,2419.398765,3.96%,
382.6748749,2421.641778,3.89%,
382.8891867,2412.864769,3.86%,
383.1034873,2413.970022,3.80%,
383.3177767,2403.015015,3.74%,
383.532055,2395.570811,3.69%,
383.746322,2411.466949,3.68%,
383.9605779,2406.688356,3.62%,
384.1748226,2414.425126,3.70%,
384.389056,2399.764271,3.65%,
384.6032783,2400.641972,3.56%,
384.8174893,2393.100246,3.49%,
385.0316892,2405.258028,3.46%,
385.2458779,2404.997969,3.48%,
385.4600553,2402.429881,3.44%,
385.6742215,2423.592225,3.41%,
385.8883765,2438.870722,3.34%,
386.1025204,2446.737522,3.47%,
386.3166529,2444.624539,3.49%,
386.5307743,2447.452686,3.50%,
386.7448844,2441.04872,3.53%,
386.9589834,2458.310171,3.57%,
387.1730711,2459.220379,3.55%,
387.3871475,2476.319293,3.52%,
387.6012127,2490.46003,3.49%,
387.8152667,2505.771034,3.47%,
388.0293095,2519.1641,3.41%,
388.243341,2534.28006,3.42%,
388.4573613,2540.423966,3.42%,
388.6713703,2542.341905,3.35%,
388.8853681,2573.191466,3.34%,
389.0993547,2579.497909,3.35%,
389.31333,2582.748653,3.37%,
389.527294,2583.463817,3.32%,
389.7412468,2602.708222,3.28%,
389.9551883,2616.848958,3.32%,
390.1691186,2703.643824,3.32%,
390.3830376,2699.547887,3.31%,
390.5969453,2685.342135,3.22%,
390.8108418,2709.657701,3.19%,
391.024727,2723.408348,3.18%,
391.2386009,2742.392693,3.17%,
391.4524636,2729.35721,3.13%,
391.666315,2752.33997,3.13%,
391.8801551,2733.193088,3.10%,
392.0939839,2742.262664,3.12%,
392.3078014,2754.615491,3.11%,
392.5216077,2768.106079,3.12%,
392.7354027,2773.209747,3.14%,
392.9491864,2776.362969,3.12%,
393.1629587,2781.206577,3.15%,
393.3767198,2775.745327,3.15%,
393.5904696,2777.500729,3.13%,
393.8042081,2797.460298,3.13%,
394.0179353,2796.875164,3.16%,
394.2316512,2797.915402,3.16%,
394.4453558,2819.955446,3.16%,
394.6590491,2740.539769,3.15%,
394.8727311,2764.270201,3.17%,
395.0864017,2802.108862,3.22%,
395.300061,2808.122738,3.23%,
395.5137091,2835.428988,3.23%,
395.7273458,2834.421257,3.24%,
395.9409712,2851.325126,3.25%,
396.1545852,2868.196488,3.24%,
396.3681879,2896.510469,3.25%,
396.5817793,2911.463891,3.25%,
396.7953594,2928.205223,3.27%,
397.0089281,2929.89561,3.28%,
397.2224855,2952.455774,3.27%,
397.4360316,2968.026838,3.27%,
397.6495663,2976.153698,3.26%,
397.8630897,2990.619509,3.26%,
398.0766017,3011.781853,3.28%,
398.2901024,3019.94122,3.29%,
398.5035917,3049.653021,3.29%,
398.7170697,3066.459368,3.30%,
398.9305363,3074.846287,3.29%,
399.1439916,3097.146391,3.31%,
399.3574355,3094.708333,3.31%,
399.5708681,3114.667902,3.29%,
399.7842893,3118.308735,3.29%,
399.9976991,3102.640149,3.29%,
400.2110975,3103.225283,3.29%,
400.4244846,3119.056406,3.29%,
400.6378603,3121.494464,3.31%,
400.8512246,3134.49744,3.33%,
401.0645776,3141.876629,3.35%,
401.2779192,3163.071481,3.35%,
401.4912493,3178.024903,3.37%,
401.7045681,3184.981496,3.37%,
401.9178756,3216.741265,3.38%,
402.1311716,3225.225707,3.39%,
402.3444562,3234.392805,3.40%,
402.5577295,3251.719271,3.42%,
402.7709913,3268.49311,3.43%,
402.9842418,3293.101243,3.44%,
403.1974808,3305.974189,3.45%,
403.4107085,3310.135141,3.45%,
403.6239247,3318.229494,3.45%,
403.8371295,3357.465975,3.45%,
404.0503229,3363.122269,3.47%,
404.2635049,3401.188482,3.50%,
404.4766755,3425.47154,3.51%,
404.6898347,3468.901481,3.53%,
404.9029825,3487.170662,3.53%,
405.1161188,3498.645789,3.52%,
405.3292437,3509.275722,3.53%,
405.5423572,3536.744509,3.51%,
405.7554592,3552.250558,3.53%,
405.9685499,3563.53064,3.53%,
406.1816291,3567.951652,3.53%,
406.3946968,3563.985744,3.53%,
406.6077531,3598.378616,3.55%,
406.820798,3619.443438,3.55%,
407.0338314,3633.194085,3.55%,
407.2468534,3651.073177,3.55%,
407.459864,3639.98814,3.54%,
407.672863,3654.291414,3.54%,
407.8858507,3686.21372,3.56%,
408.0988269,3708.253765,3.56%,
408.3117916,3699.216696,3.56%,
408.5247449,3701.914814,3.56%,
408.7376867,3695.965952,3.55%,
408.950617,3721.386771,3.55%,
409.1635359,3714.950298,3.55%,
409.3764433,3735.982612,3.57%,
409.5893392,3744.694606,3.57%,
409.8022237,3760.525729,3.57%,
410.0150967,3761.826027,3.58%,
410.2279582,3749.278155,3.58%,
410.4408082,3760.720774,3.58%,
410.6536468,3792.513051,3.59%,
410.8664739,3808.181637,3.59%,
411.0792894,3812.050022,3.59%,
411.2920935,3831.944576,3.59%,
411.5048861,3843.159643,3.59%,
411.7176672,3856.097604,3.59%,
411.9304369,3877.585022,3.61%,
412.143195,3893.903757,3.61%,
412.3559416,3888.767582,3.61%,
412.5686767,3885.094241,3.60%,
412.7814003,3905.93151,3.60%,
412.9941124,3923.84311,3.60%,
413.206813,3954.692671,3.60%,
413.419502,3968.963438,3.61%,
413.6321796,3976.797731,3.61%,
413.8448457,3973.189405,3.61%,
414.0575002,3987.460171,3.61%,
414.2701432,4000.788222,3.61%,
414.4827747,4013.173557,3.61%,
414.6953946,4040.512314,3.61%,
414.908003,4053.872872,3.61%,
415.1205999,4054.067917,3.61%,
415.3331853,4071.264353,3.62%,
415.5457591,4088.9484,3.63%,
415.7583214,4096.750186,3.64%,
415.9708721,4119.537902,3.64%,
416.1834113,4117.7825,3.64%,
416.395939,4140.050097,3.65%,
416.6084551,4138.717292,3.65%,
416.8209597,4161.700052,3.66%,
417.0334527,4177.336131,3.67%,
417.2459342,4193.329792,3.68%,
417.4584041,4190.501644,3.68%,
417.6708624,4196.808088,3.68%,
417.8833092,4174.963088,3.68%,
418.0957444,4188.063586,3.67%,
418.3081681,4205.227515,3.68%,
418.5205801,4221.513743,3.70%,
418.7329807,4217.580342,3.70%,
418.9453696,4241.603341,3.71%,
419.157747,4254.086198,3.71%,
419.3701128,4253.110975,3.70%,
419.582467,4261.595417,3.70%,
419.7948096,4263.805923,3.70%,
420.0071407,4247.129606,3.69%,
420.2194601,4235.036838,3.68%,
420.431768,4227.982723,3.67%,
420.6440643,4234.809286,3.68%,
420.856349,4242.903638,3.68%,
421.0686221,4262.668162,3.69%,
421.2808835,4255.8416,3.70%,
421.4931334,4271.932783,3.70%,
421.7053717,4275.476094,3.71%,
421.9175984,4287.503847,3.71%,
422.1298135,4284.383132,3.71%,
422.342017,4309.251324,3.72%,
422.5542088,4310.974219,3.73%,
422.7663891,4307.65846,3.72%,
422.9785577,4299.011481,3.71%,
423.1907147,4309.511384,3.71%,
423.4028601,4292.575007,3.71%,
423.6149939,4282.432686,3.70%,
423.827116,4306.423177,3.71%,
424.0392265,4311.071741,3.72%,
424.2513254,4294.525454,3.72%,
424.4634126,4308.081057,3.73%,
424.6754882,4312.111979,3.74%,
424.8875522,4299.759152,3.74%,
425.0996046,4309.511384,3.74%,
425.3116452,4302.19721,3.75%,
425.5236743,4289.291756,3.75%,
425.7356917,4301.807121,3.74%,
425.9476975,4283.180357,3.74%,
426.1596916,4291.242202,3.73%,
426.371674,4288.511577,3.73%,
426.5836448,4279.507016,3.73%,
426.7956039,4283.863013,3.74%,
427.0075514,4279.344479,3.73%,
427.2194872,4280.22218,3.73%,
427.4314114,4283.245372,3.73%,
427.6433238,4306.813266,3.73%,
427.8552247,4310.4541,3.73%,
428.0671138,4331.161339,3.74%,
428.2789913,4317.703259,3.74%,
428.490857,4318.288393,3.74%,
428.7027112,4337.695335,3.74%,
428.9145536,4337.272738,3.75%,
429.1263843,4342.376406,3.75%,
429.3382034,4370.722894,3.75%,
429.5500107,4373.095938,3.75%,
429.7618064,4376.281667,3.74%,
429.9735904,4382.653125,3.74%,
430.1853627,4365.0666,3.73%,
430.3971233,4368.642418,3.73%,
430.6088722,4357.167292,3.73%,
430.8206094,4367.73221,3.72%,
431.0323349,4383.823393,3.73%,
431.2440486,4377.029338,3.72%,
431.4557507,4392.275327,3.72%,
431.6674411,4403.392872,3.72%,
431.8791197,4429.983958,3.73%,
432.0907866,4405.863438,3.73%,
432.3024418,4402.645201,3.72%,
432.5140853,4395.623594,3.72%,
432.7257171,4403.230335,3.71%,
432.9373371,4399.914576,3.71%,
433.1489455,4393.835685,3.71%,
433.360542,4408.008929,3.71%,
433.5721269,4413.95779,3.72%,
433.7837,4395.493564,3.71%,
433.9952614,4393.575625,3.71%,
434.206811,4380.345097,3.70%,
434.4183489,4381.092768,3.70%,
434.6298751,4385.936376,3.70%,
434.8413895,4391.625179,3.70%,
435.0528922,4400.987321,3.70%,
435.2643831,4382.263036,3.70%,
435.4758622,4357.557381,3.70%,
435.6873296,4357.394844,3.70%,
435.8987853,4360.320513,3.70%,
436.1102291,4359.637857,3.71%,
436.3216613,4341.498705,3.69%,
436.5330816,4337.110201,3.70%,
436.7444902,4332.396622,3.71%,
436.955887,4321.149048,3.71%,
437.1672721,4300.344286,3.71%,
437.3786453,4311.689382,3.71%,
437.5900068,4311.364308,3.71%,
437.8013566,4297.061034,3.70%,
438.0126945,4288.023966,3.70%,
438.2240207,4298.101272,3.71%,
