Layer Title, Color, Specimen ID
Layer 1, Blue, 2011-0034_A.1.trans

Mode, Integration Time, Boxcar Width, Scans to Average
Transmittance,350 ms,10,3

Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data
345.43265,1196.01375,75%
345.648861619574,1187.821875,49.9999999999993%
345.86506245675,1221.27203125,100%
346.081252509212,2189.96125,100%
346.297431774643,2235.69921875,100%
346.513600250726,2547.673125,0%
346.729757935144,2179.03875,76.0563380281695%
346.945904825581,2071.1790625,100%
347.162040919719,1974.241875,100%
347.378166215243,2042.5075,100%
347.594280709834,2038.76914434524,0%
347.810384401177,2090.94358630952,100%
348.026477286954,2129.59493303571,100%
348.242559364849,2169.96917410714,0%
348.458630632545,2167.53111607143,0%
348.674691087724,2167.5636235119,0%
348.890740728071,2149.19691964286,0%
349.106779551268,2155.30831845238,0%
349.322807554999,2173.64251488095,0%
349.538824736946,2185.96283482143,0%
349.754831094793,2187.62071428571,0%
349.970826626224,2194.38226190476,0%
350.186811328921,2205.01219494048,0%
350.402785200567,2220.77830357143,0%
350.618748238846,2214.17929315476,0%
350.83470044144,2202.50912202381,0%
351.050641806034,2205.07720982143,0%
351.26657233031,2202.63915178571,0%
351.482492011951,2205.40228422619,0%
351.698400848641,2204.71962797619,0%
351.914298838063,2203.67938988095,0%
352.1301859779,2208.00287946429,0%
352.346062265834,2211.83875744048,0%
352.56192769955,2233.7812797619,0%
352.777782276731,2240.4778125,0%
352.993625995059,2244.11864583333,0%
353.209458852218,2265.37851190476,0%
353.425280845892,2278.73906994048,100%
353.641091973762,2277.79635416667,100%
353.856892233513,2250.71765625,0%
354.072681622828,2267.10140625,100%
354.288460139389,2266.38624255952,100%
354.50422778088,2265.93113839286,100%
354.719984544985,2258.61696428571,100%
354.935730429386,2238.72241071429,100%
355.151465431766,2245.41894345238,100%
355.367189549809,2257.86929315476,100%
355.582902781198,2256.79654761905,100%
355.798605123616,2263.10299107143,100%
356.014296574747,2267.36146577381,100%
356.229977132273,2273.3753422619,100%
356.445646793877,2269.89704613095,100%
356.661305557243,2280.68951636905,100%
356.876953420055,2278.38148809524,100%
357.092590379994,2267.81656994048,100%
357.308216434746,2267.16642113095,100%
357.523831581991,2264.69585565476,100%
357.739435819414,2236.9345014881,100%
357.955029144699,2221.13588541667,93.9814814814794%
358.170611555527,2218.40526041667,98.6988847583677%
358.386183049583,2247.1743452381,95.418641390205%
358.601743624549,2231.27820684524,100%
358.817293278109,2229.26274553571,97.3033707865118%
359.032832007946,2235.08157738095,85.6249999999987%
359.248359811743,2223.83400297619,90.6882591093129%
359.463876687183,2237.38960565476,100%
359.67938263195,2244.37870535714,84.2889908256884%
359.894877643726,2240.05521577381,75.5959137343932%
360.110361720195,2243.24094494048,85.2085967130215%
360.32583485904,2245.48395833333,89.915966386554%
360.541297057944,2234.00883184524,87.9347826086972%
360.75674831459,2231.57077380952,86.5621500559909%
360.972188626662,2226.07701636905,89.7267759562853%
361.187617991843,2218.47027529762,77.3033707865171%
