Layer Title, Color, Specimen ID,
Layer 1, Blue,951002_A.3.refl,
Mode, Integration Time, Boxcar Width, Scans to Average
Reflectance,350 ms,10,3
Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data,
345.43265,1202.157656,100%,
345.6488616,1205.570938,52.31%,
345.8650625,1211.714844,100%,
346.0812525,2232.285938,47.27%,
346.2974318,2296.455625,0%,
346.5136003,2628.909219,0%,
346.7297579,2217.2675,0%,
346.9459048,2115.551719,100%,
347.1620409,2050.699375,100%,
347.3781662,2134.666094,100%,
347.5942807,2091.91881,100%,
347.8103844,2146.368772,100%,
348.0264773,2186.873043,100%,
348.2425594,2232.936086,100%,
348.4586306,2230.660565,100%,
348.6746911,2232.708534,99.34%,
348.8907407,2215.154516,85.62%,
349.1067796,2224.581674,83.06%,
349.3228076,2248.734702,76.91%,
349.5388247,2259.949769,69.66%,
349.7548311,2258.16186,57.61%,
349.9708266,2266.28872,49.63%,
350.1868113,2280.657009,44.29%,
350.4027852,2295.350372,40.40%,
350.6187482,2286.800915,36.83%,
350.8347004,2276.691101,35.46%,
351.0506418,2285.435603,34.63%,
351.2665723,2281.794769,32.57%,
351.482492,2287.581094,33.59%,
351.6984008,2287.223512,37.77%,
351.9142988,2289.434018,36.69%,
352.130186,2300.649085,39.37%,
352.3460623,2309.491109,41.84%,
352.5619277,2333.676644,42.58%,
352.7777823,2335.334524,40.71%,
352.993626,2338.195179,40.64%,
353.2094589,2359.325015,42.43%,
353.4252808,2368.167039,41.56%,
353.641092,2365.046324,39.80%,
353.8568922,2333.35157,36.37%,
354.0726816,2347.297262,34.39%,
354.2884601,2352.2709,37.37%,
354.5042278,2355.001525,39.63%,
354.7199845,2347.459799,38.98%,
354.9357304,2329.613214,37.43%,
355.1514654,2335.854643,36.70%,
355.3671895,2349.345231,36.92%,
355.5829028,2348.044933,35.75%,
355.7986051,2352.303408,35.31%,
356.0142966,2354.091317,35.19%,
356.2299771,2362.900833,31.73%,
356.4456468,2357.407076,30.29%,
356.6613056,2366.216592,30.54%,
356.8769534,2358.12224,27.01%,
357.0925904,2345.899442,25.63%,
357.3082164,2350.352961,24.57%,
357.5238316,2347.557321,24.50%,
357.7394358,2321.778921,23.22%,
357.9550291,2311.669107,23.43%,
358.1706116,2307.150573,21.61%,
358.386183,2334.716882,22.16%,
358.6017436,2320.706176,22.88%,
358.8172933,2321.096265,21.63%,
359.032832,2328.02035,21.89%,
359.2483598,2315.537493,20.76%,
359.4638767,2329.190618,21.22%,
359.6793826,2336.179717,20.55%,
359.8948776,2332.441362,17.68%,
360.1103617,2335.204494,18.63%,
360.3258349,2334.261778,16.90%,
360.5412971,2323.079219,15.68%,
360.7567483,2320.413609,16.42%,
360.9721886,2314.594777,15.92%,
361.187618,2305.427679,14.25%,
361.4030364,2291.416972,13.70%,
361.6184439,2306.890513,13.08%,
361.8338404,2310.10875,12.39%,
362.0492259,2318.333132,11.38%,
362.2646005,2318.528177,10.38%,
362.4799642,2319.63343,9.95%,
362.6953168,2332.571391,10.08%,
362.9106585,2332.21381,10.38%,
363.1259893,2333.286555,10.13%,
363.3413091,2341.023326,8.92%,
363.5566179,2345.769412,8.16%,
363.7719157,2361.047909,8.06%,
363.9872025,2338.94285,7.05%,
364.2024784,2340.34067,6.58%,
364.4177433,2351.360692,6.10%,
364.6329972,2367.744442,5.45%,
364.8482401,2379.284583,5.62%,
365.063472,2388.906786,5.67%,
365.2786929,2395.278244,5.38%,
365.4939029,2407.761101,5.04%,
