Layer Title, Color, Specimen ID
Layer 1, Blue, 941312_A.3.trans

Mode, Integration Time, Boxcar Width, Scans to Average
Transmittance,350 ms,10,3

Wavelength, Raw Spectrometer Data, Calibrated and Averaged Data
345.43265,1148.91046875,100%
345.648861619574,1219.2240625,0%
345.86506245675,1183.7259375,50%
346.081252509212,2144.9059375,100%
346.297431774643,2132.618125,16.8421052631581%
346.513600250726,2483.5034375,100%
346.729757935144,2152.41515625,73.5294117647053%
346.945904825581,1988.57765625,100%
347.162040919719,1924.40796875,37.3333333333333%
347.378166215243,2085.51484375,100%
347.594280709834,1983.57151041667,100%
347.810384401177,2036.46111607143,100%
348.026477286954,2070.72395833333,100%
348.242559364849,2112.07342261905,100%
348.458630632545,2109.70037946429,100%
348.674691087724,2113.43873511905,100%
348.890740728071,2098.87540178571,100%
349.106779551268,2105.70196428571,100%
349.322807554999,2126.57174107143,100%
349.538824736946,2139.63973214286,100%
349.754831094793,2138.27441964286,100%
349.970826626224,2147.89662202381,100%
350.186811328921,2163.82526785714,100%
350.402785200567,2177.15331845238,100%
350.618748238846,2172.53726190476,100%
350.83470044144,2164.08532738095,100%
351.050641806034,2173.54499255952,100%
351.26657233031,2172.63478422619,100%
351.482492011951,2176.24311011905,100%
351.698400848641,2179.00624255952,100%
351.914298838063,2180.79415178571,100%
352.1301859779,2187.91328125,100%
352.346062265834,2191.55411458333,100%
352.56192769955,2212.3588764881,100%
352.777782276731,2216.64985863095,100%
352.993625995059,2217.62508184524,100%
353.209458852218,2234.36641369048,100%
353.425280845892,2243.46849702381,100%
353.641091973762,2240.64034970238,100%
353.856892233513,2216.81239583333,100%
354.072681622828,2228.38504464286,100%
354.288460139389,2226.62964285714,100%
354.50422778088,2227.92994047619,100%
354.719984544985,2220.81081101191,100%
354.935730429386,2201.92398809524,100%
355.151465431766,2207.45025297619,100%
355.367189549809,2216.16224702381,100%
355.582902781198,2210.53845982143,100%
355.798605123616,2214.95947172619,100%
356.014296574747,2220.5507514881,100%
356.229977132273,2227.79991071429,100%
356.445646793877,2219.70555803571,100%
356.661305557243,2230.43301339286,100%
356.876953420055,2228.02746279762,100%
357.092590379994,2221.33093005952,100%
357.308216434746,2223.70397321429,100%
357.523831581991,2222.50119791667,100%
357.739435819414,2199.16085565476,100%
357.955029144699,2186.97056547619,0%
358.170611555527,2182.80961309524,0%
358.386183049583,2211.09108630952,0%
358.601743624549,2200.29861607143,0%
358.817293278109,2198.73825892857,0%
359.032832007946,2204.68712053571,0%
359.248359811743,2192.30178571429,0%
359.463876687183,2205.92240327381,0%
359.67938263195,2209.6282514881,100%
359.894877643726,2206.73508928571,100%
360.110361720195,2209.30317708333,100%
360.32583485904,2210.34341517857,100%
360.541297057944,2198.54321428571,100%
360.75674831459,2192.5618452381,57.2916666666695%
360.972188626662,2189.70119047619,61.8257261410759%
361.187617991843,2181.54182291667,43.9330543933033%
361.403036407816,2166.00326636905,26.3982102908251%
361.618443872263,2176.92576636905,6.04288499025571%
361.83384038287,2179.81892857143,18.7499999999997%
362.049225937317,2187.32814732143,9.59885386819248%
362.264600533289,2193.14697916667,27.5362318840575%
362.479964168469,2195.16244047619,30.2052785923777%
362.69531684054,2209.04311755952,33.8898163606009%
362.910658547185,2200.23360119048,21.4285714285717%
363.125989286088,2198.73825892857,17.0244263508499%
363.341309054931,2214.01675595238,19.6732954545441%
363.556617851398,2218.0801860119,21.8134034165563%
363.771915673172,2230.82310267857,14.1721854304631%
363.987202517936,2214.27681547619,10.6821106821105%
364.202478383373,2218.14520089286,5.84126984126931%
364.417743267167,2229.36026785714,4.71204188481687%
364.632997167001,2247.10933035714,4.19403739262315%
364.848240080557,2251.75789434524,2.94943820224735%
365.06347200552,2259.07206845238,5.16014234875481%
365.278692939571,2264.82588541667,4.14551607445049%
365.493902880396,2274.35056547619,0%
365.709101825675,2264.40328869048,0%
365.924289773094,2275.16325148809,1.82077829346594%
366.139466720334,2255.6262797619,0%
366.35463266508,2248.96225446429,0.456174649723667%
366.569787605014,2265.63857142857,0%
366.78493153782,2263.20051339286,0%
367.00006446118,2265.44352678571,0%
367.215186372778,2246.81676339286,0%
367.430297270298,2233.22865327381,0%
367.645397151421,2228.7426264881,0%
367.860486013832,2216.19475446429,0.268817204301268%
368.075563855214,2223.24886904762,2.22693531283151%
368.290630673249,2225.52438988095,3.59077231695082%
368.505686465622,2232.80605654762,4.98753117206957%
368.720731230015,2242.52578125,6.21479534359731%
368.935764964111,2231.7333110119,5.93297930781923%
369.150787665594,2202.47661458333,6.16971232133145%
369.365799332146,2194.64232142857,6.90680188844204%
369.580799961452,2201.37136160714,5.93410384681764%
369.795789551193,2180.59910714286,4.79986431478967%
370.010768099054,2179.1687797619,6.71063478977733%
370.225735602717,2183.39474702381,4.84384958572338%
370.440692059866,2183.52477678571,3.07499215563236%
370.655637468184,2192.65936755952,2.69936757673923%
370.870571825354,2208.03538690476,1.08359133126955%
371.085495129059,2188.82348958333,2.75936488361357%
371.300407376983,2210.79851934524,3.02339714372563%
371.515308566808,2218.34024553571,1.01180438448575%
371.730198696218,2225.16680803571,0%
371.945077762896,2231.99337053571,0%
372.159945764526,2224.25659970238,0%
372.374802698789,2242.26572172619,0%
372.58964856337,2224.15907738095,0%
372.804483355952,2213.91923363095,0%
373.019307074218,2223.99654017857,0%
373.23411971585,2200.29861607143,0%
373.448921278533,2205.72735863095,0%
373.66371175995,2215.12200892857,0%
373.878491157783,2199.6484672619,0%
374.093259469716,2191.71665178571,0%
374.308016693432,2206.41001488095,0%
